product_title,cleaned_review,aspects,sentiments,aspect_sentiment_dict,original_review,location,date,upvotes,downvotes
BoAt_Rockerz_235v2,more flexible bass is very high sound clarity is good battery back up to to hour s main thing is fastest charging system is available in that only min charge and get long up to hours back up killing look awesome for gaming that product does not support if you want for gaming then i ll recommend you please don t buy but you want for only music then this product is very well for you no more wireless headphones are comparing with that headphones at this pric,"['bass', 'sound clarity', 'battery back', 'charging system', 'look', 'music']","['Negative', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive']","{'bass': 'Negative', 'sound clarity': 'Positive', 'battery back': 'Positive', 'charging system': 'Positive', 'look': 'Positive', 'music': 'Positive'}",1-more flexible2-bass is very high3-sound clarity is good 4-battery back up to 6 to 8 hour's 5-main thing is fastest charging system is available in that. Only 20 min charge and get long up to 4 hours back up 6-killing look awesome 7-for gaming that product does not support 100% if you want for gaming then I'll recommend you please don't buy but you want for only music then this product is very well for you.. 8-no more wireless headphones are comparing with that headphones at this pric...,Shirala,8 months ago,1390,276
BoAt_Rockerz_235v2,super sound and good looking i like that prize,"['sound', 'looking']","['Positive', 'Positive']","{'sound': 'Positive', 'looking': 'Positive'}",Super sound and good looking I like that prize,Visakhapatnam,8 months ago,643,133
BoAt_Rockerz_235v2,very much satisfied with the device at this price point being from an awesome brand design wise i liked it more than rockerz model bought the model blindly on its very first day with zero reviews and it was a wonderful choice i must say bluetooth enables us to connect devices simultaneously and vibration motor for calls its too good,"['design', 'bluetooth', 'vibration motor']","['Positive', 'Positive', 'Positive']","{'design': 'Positive', 'bluetooth': 'Positive', 'vibration motor': 'Positive'}","Very much satisfied with the device at this price point being from an awesome brand. Design wise , I liked it more than rockerz 255 model.Bought the model blindly on its very first day with zero reviews and it was a wonderful choice I must say.Bluetooth 5.0 enables us to connect devices simultaneously. And vibration motor for calls , its too good.",Kozhikode,"Feb, 2020",1449,328
BoAt_Rockerz_235v2,nice headphone bass was very good and sound is clear i am purchase for calling purpose and best choice even riding on bike wear in one ear and opposite end voice was clear and no complaint for calling battery backup full day,"['bass', 'sound', 'battery backup']","['Positive', 'Positive', 'Positive']","{'bass': 'Positive', 'sound': 'Positive', 'battery backup': 'Positive'}","Nice headphone, bass was very good and sound is clear. I am purchase for calling purpose and best choice even riding on bike wear in one ear and opposite end voice was clear and no complaint for calling.. Battery backup 1 full day",Jaora,7 months ago,160,28
BoAt_Rockerz_235v2,sound quality super battery backup super quality super this price range super and this value for money,"['sound quality', 'battery backup']","['Positive', 'Positive']","{'sound quality': 'Positive', 'battery backup': 'Positive'}",Sound quality super battery backup super quality super this price range super and this value for money,New Delhi,8 months ago,533,114
BoAt_Rockerz_235v2,wo it s amezing bluetooth nice look nice price nice battery back up i love always flipkart product s and flipkart replacement and refund policy you can return or refund after received a demegzed product,"['bluetooth', 'look', 'price', 'battery back up']","['Positive', 'Positive', 'Positive', 'Positive']","{'bluetooth': 'Positive', 'look': 'Positive', 'price': 'Positive', 'battery back up': 'Positive'}","Wowwww it's amezing bluetooth nice look, nice price, nice battery back up, I love always flipkart product's and Flipkart replacement and refund policy, you can return or refund after received a demegzed product",Bengaluru,8 months ago,172,37
BoAt_Rockerz_235v2,awesome colour amazing experience but only the charging data cable is not of good quality and adjustable clip is not so tight,"['colour', 'charging data cable', 'adjustable clip']","['Positive', 'Negative', 'Negative']","{'colour': 'Positive', 'charging data cable': 'Negative', 'adjustable clip': 'Negative'}",Awesome colour! Amazing experience .. but only the charging data cable is not of good quality and adjustable clip is not so tight.,Robertsonpet,8 months ago,206,46
BoAt_Rockerz_235v2,for the first time i am posting a review just because the product compelled me to do so icouldn t find a single aspect missed or mis handled by boat well this is called quality engineering well some people say boat enhances bass and thus compensates with clarity but i would give my neutral and true feedbackbass clarity comfort ease n looks features the best buy from flipkart yet,"['engineering', 'bass', 'comfort']","['Positive', 'Negative', 'Positive']","{'engineering': 'Positive', 'bass': 'Negative', 'comfort': 'Positive'}","For the first time, I am posting a review, just because the product compelled me to do so. Icouldn't find a single aspect missed or mis-handled by Boat. Well this is called, quality engineering. Well, some people say Boat enhances bass and thus compensates with clarity, but I would give my neutral and true feedbackBass : 10/10Clarity : 9/10Comfort ease n looks : 15/10Features :10/10The best buy from flipkart yet..",Bhadreswar,"Feb, 2020",616,182
BoAt_Rockerz_235v2,first of all the delivery boy is a good guy nice receive and responce product is super packing also good i fell red color is not sufficient for me otherwise totally awesome product delivery is too long iam taking one week after booking thankyou flipcart and boat v also,"['delivery', 'responce', 'packing', 'color']","['Positive', 'Positive', 'Positive', 'Negative']","{'delivery': 'Positive', 'responce': 'Positive', 'packing': 'Positive', 'color': 'Negative'}",First of all the Delivery boy is a good guy. Nice receive and responce. Product is super. Packing also good.  I fell Red color is not sufficient for me. Otherwise totally awesome product. Delivery is too long. Iam taking one week after booking. Thankyou flipcart and boat 235v2 also.,Tirupati,"Mar, 2020",232,66
BoAt_Rockerz_235v2,this headphone is good but not that much as i expected pros good battery backup good sound quality cons there s a voice gap between video activity and voice voice comes after video activity not both comes together it is ok when you watch movies and music but if you play pubg with it you will clearly feel the big gap it matters a lot for me it is not working after month very much disappointedoverall not gooddon t buy please,"['battery backup', 'sound quality', 'pubg']","['Positive', 'Positive', 'Negative']","{'battery backup': 'Positive', 'sound quality': 'Positive', 'pubg': 'Negative'}",This headphone is good but not that much as i expected*Pros- 1Good battery backup             2Good sound quality*Cons-1 There's a voice gap between video activity and voice. Voice comes after video activity not both comes together. It is ok when you watch movies and music but if you play pubg with it you will clearly feel the big gap it matters a lot for me. It is not working after 4 month very much disappointedOverall not goodDon't buy please,Firozabad District,8 months ago,265,83
